Ticket ID;Date;Fixed Commits;Affected Versions
SYNCOPE-1070;2017-04-21;1;4
SYNCOPE-1069;2017-04-20;2;1
SYNCOPE-1066;2017-04-14;1;2
SYNCOPE-1062;2017-04-06;1;2
SYNCOPE-1060;2017-04-05;2;2
SYNCOPE-1057;2017-04-04;2;1
SYNCOPE-1052;2017-03-30;1;1
SYNCOPE-1051;2017-03-28;2;2
SYNCOPE-1049;2017-03-21;1;2
SYNCOPE-1048;2017-03-17;1;2
SYNCOPE-1046;2017-03-14;1;2
SYNCOPE-1045;2017-03-14;1;2
SYNCOPE-1044;2017-03-13;1;2
SYNCOPE-1043;2017-03-07;3;2
SYNCOPE-1042;2017-03-07;1;2
SYNCOPE-1040;2017-03-01;1;2
SYNCOPE-1039;2017-03-01;1;2
SYNCOPE-1038;2017-03-01;1;2
SYNCOPE-1037;2017-03-01;1;2
SYNCOPE-1036;2017-03-01;1;2
SYNCOPE-1034;2017-02-28;1;2
SYNCOPE-1033;2017-02-24;1;2
SYNCOPE-1032;2017-02-24;1;2
SYNCOPE-1030;2017-02-24;1;2
SYNCOPE-1027;2017-02-24;1;2
SYNCOPE-1026;2017-02-24;1;2
SYNCOPE-1025;2017-02-23;1;2
SYNCOPE-1024;2017-02-23;2;2
SYNCOPE-1023;2017-02-22;1;2
SYNCOPE-1022;2017-02-22;1;2
SYNCOPE-1016;2017-02-15;2;2
SYNCOPE-1014;2017-02-12;2;2
SYNCOPE-1013;2017-02-12;2;2
SYNCOPE-1012;2017-02-12;1;2
SYNCOPE-1010;2017-02-12;1;2
SYNCOPE-1008;2017-02-07;1;2
SYNCOPE-1007;2017-02-02;1;2
SYNCOPE-1004;2017-01-31;1;2
SYNCOPE-1003;2017-01-31;1;2
SYNCOPE-1002;2017-01-25;1;2
SYNCOPE-1001;2017-01-24;1;2
SYNCOPE-1000;2017-01-23;1;2
SYNCOPE-999;2017-01-20;3;4
SYNCOPE-997;2017-01-13;2;2
SYNCOPE-994;2017-01-12;2;2
SYNCOPE-993;2017-01-12;1;2
SYNCOPE-992;2017-01-12;1;2
SYNCOPE-990;2017-01-10;1;2
SYNCOPE-987;2016-12-29;3;2
SYNCOPE-982;2016-12-19;1;2
SYNCOPE-981;2016-12-12;1;2
SYNCOPE-980;2016-12-07;1;2
SYNCOPE-979;2016-12-01;1;2
SYNCOPE-977;2016-11-30;1;2
SYNCOPE-976;2016-11-28;1;4
SYNCOPE-975;2016-11-26;1;3
SYNCOPE-974;2016-11-25;1;2
SYNCOPE-970;2016-11-17;1;2
SYNCOPE-966;2016-11-10;1;2
SYNCOPE-965;2016-11-07;1;4
SYNCOPE-953;2016-09-29;1;2
SYNCOPE-950;2016-09-23;1;1
SYNCOPE-946;2016-09-19;4;2
SYNCOPE-944;2016-09-16;2;2
SYNCOPE-942;2016-09-13;1;2
SYNCOPE-940;2016-09-12;1;2
SYNCOPE-937;2016-09-12;4;3
SYNCOPE-1331;2018-07-06;1;1
SYNCOPE-1372;2018-09-17;1;3
SYNCOPE-1371;2018-09-13;1;1
SYNCOPE-1398;2018-11-19;0;1
SYNCOPE-1475;2019-05-29;0;1
SYNCOPE-1462;2019-04-29;0;1
SYNCOPE-1524;2019-12-11;0;3
SYNCOPE-1581;2020-07-17;0;1
SYNCOPE-1549;2020-03-19;0;3
SYNCOPE-1596;2020-10-26;1;1
SYNCOPE-1590;2020-09-14;0;1
SYNCOPE-1691;2022-08-03;0;2
SYNCOPE-1690;2022-07-14;0;1
SYNCOPE-1684;2022-06-23;0;1
SYNCOPE-1683;2022-06-21;0;2
SYNCOPE-1677;2022-05-18;1;1
SYNCOPE-1676;2022-05-12;1;1
SYNCOPE-1672;2022-04-06;1;1
SYNCOPE-1671;2022-04-06;1;2
SYNCOPE-1664;2022-02-24;1;3
